ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
je	Z°	je	PRO:per	NOM,PRO:per		s		Z_°	j_e	10862,77	25983,2
de	d°	de	PRE	ART:def,PRE				d_°	d_e	38928,92	25220,86
est	e	être	VER	ADJ,NOM,AUX,VER			ind:pre:3s;	e_#_#	e_s_t	6331,76	19417,69
pas	pa	pas	ADV	ADV,NOM				p_a_#	p_a_s	8795,14	18188,15
la	la	la	ART:def	ART:def,NOM,PRO:per	f	s		l_a	l_a	23633,92	14946,48
tu	ty	tu	PRO:per	VER,ADJ,NOM,PRO:per		s		t_y	t_u	2537,03	14661,76
le	l°	le	ART:def	ART:def,PRO:per	m	s		l_°	l_e	18310,95	13652,76
vous	vu	vous	PRO:per	PRO:per		p		v_u_#	v_ou_s	3507,16	13589,7
ne	n°	ne	ADV	ADV				n_°	n_e	7752,09	13357,03
il	il	il	PRO:per	ADJ:num,ADV,PRO:per	m	s		i_l	i_l	15832,09	13222,93
et	e	et	CON	CON				e	et	20879,73	12909,08
à	a	à	PRE	PRE				a	à	19209,05	12190,4
un	1	un	ART:ind	ADJ:num,ART:ind,PRO:ind	m	s		1	un	13550,68	12087,62
ça	sa	ça	PRO:dem	NOM,PRO:dem		s		s_a	ç_a	2477,64	8933,66
n'	n	ne	ADV	AUX,NOM,PRO:per,ADV				n_#	n_'	6084,12	8860,45
les	le	les	ART:def	ART:def,PRO:per		p		l_e_#	l_e_s	14662,3	8720,38
on	§	on	PRO:per	NOM,PRO:per		s		§	on	4838,38	8586,4
l'	l	l'	ART:def	NOM,ART:def,LIA,PRO:per	m	s		l_#	l_'	12746,76	8129,41
une	yn	une	ART:ind	ADJ:num,ART:ind,NOM,PRO:ind	f	s		y_n_#	u_n_e	9587,97	7907,85
d'	d	d'	PRE	NOM,PRE				d_#	d_'	11876,35	7224,74
pour	puR	pour	PRE	NOM,PRE				p_u_R	p_ou_r	6198,24	7078,55
