ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
aborder	abORde	aborder	VER			12.55	33.18	5.65	12.91	inf;	1	9	1	7	6	VCVCCVC	VCVCCV	3	5	6	6	a-bOR-de	3	V-CVC-CV	redroba	edROba	a-bor-der	VER	100	17	1.65	1.5	aborder	1
accrus	akRy	accru	ADJ	m	p	0.57	3.04	0.01	0.00		2	11	0	6	4	VCCCVC	VCCV	4	4	0	4	a-kRy	2	V-CCV	surcca	yRka	ac-crus	VER,ADJ	92	28	1.65	1.55	accru	1
ahanait	aanE	ahaner	VER			0.01	2.16	0.00	0.34	ind:imp:3s;	1	2	0	7	4	VCVCVVC	VVCV	1	10	0	0	a-a-nE	3	V-V-CV	tianaha	Enaa	a-ha-nait	VER	43	23	1.95	1.35	ahaner	1
altérations	alteRasj§	altération	NOM	f	p	0.64	1.49	0.05	0.54		1	2	0	11	9	VCCVCVCVVCC	VCCVCVCYV	0	0	0	7	al-te-Ra-sj§	4	VC-CV-CV-CYV	snoitarétla	§jsaRetla	al-té-ra-tions	NOM	100	20	2.65	2.55	altér-ion	2
approuvé	apRuve	approuver	VER	m	s	15.39	36.08	3.26	3.18	par:pas;	2	10	0	8	6	VCCCVVCV	VCCVCV	2	5	8	4	a-pRu-ve	3	V-CCV-CV	évuorppa	evuRpa	ap-prou-vé	VER,ADJ	96	31	2.1	1.6	approuver	1
asiatiques	azjatik	asiatique	ADJ		p	3.00	2.77	0.55	0.95		2	4	0	10	7	VCVVCVCVVC	VCYVCVC	0	0	0	6	a-zja-tik	3	V-CYV-CVC	seuqitaisa	kitajza	a-sia-ti-ques	ADJ,NOM	100	16	2.6	2.55	asie-ique	2
astreintes	astR5t	astreinte	NOM	f	p	0.03	0.07	0.01	0.00		2	5	0	10	6	VCCCVVCCVC	VCCCVC	0	0	0	6	as-tR5t	2	VC-CCVC	setniertsa	t5Rtsa	as-trein-tes	ADJ,NOM	85	21	2.55	2	astreinte	1
auditeur	odit9R	auditeur	NOM	m	s	3.15	6.49	0.85	1.69		1	2	1	8	6	VVCVCVVC	VCVCVC	0	1	7	5	o-di-t9R	3	V-CV-CVC	ruetidua	R9tido	au-di-teur	NOM	100	17	2.65	1.95	auditeur	1
bestiasse	bEstjas	bestiasse	NOM	f	s	0.00	0.14	0.00	0.14		1	1	1	9	7	CVCCVVCCV	CVCCYVC	0	1	7	7	bEs-tjas	2	CVC-CYVC	essaitseb	sajtsEb	bes-tias-se	NOM	13	15	3.05	2.65	bestiasse	1
blatérant	blateR@	blatérer	VER			0.00	0.07	0.00	0.07	par:pre;	1	1	0	9	7	CCVCVCVCC	CCVCVCV	0	0	0	0	bla-te-R@	3	CCV-CV-CV	tnarétalb	@Retalb	bla-té-rant	VER			2.85	2.75	blatérer	1
bouffarde	bufaRd	bouffarde	NOM	f	s	0.20	1.01	0.20	0.95		1	2	1	9	6	CVVCCVCCV	CVCVCC	0	1	7	5	bu-faRd	2	CV-CVCC	edraffuob	dRafub	bouf-far-de	NOM	55	20	2.7	1.95	bouffarde	1
bouffardes	bufaRd	bouffarde	NOM	f	p	0.20	1.01	0.00	0.07		1	2	0	10	6	CVVCCVCCVC	CVCVCC	0	1	0	5	bu-faRd	2	CV-CVCC	sedraffuob	dRafub	bouf-far-des	NOM	55	20	2.85	1.95	bouffarde	1
bouffe	buf	bouffe	ADJ		s	3.31	2.23	3.30	2.16		3	8	1	6	3	CVVCCV	CVC	5	21	6	3	buf	1	CVC	effuob	fub	bouf-fe	ADJ,NOM,VER	83	18	1.5	1	bouffe	1
bouffe	buf	bouffe	NOM	f	s	14.51	7.36	14.40	6.62		3	8	1	6	3	CVVCCV	CVC	5	21	6	3	buf	1	CVC	effuob	fub	bouf-fe	ADJ,NOM,VER	100	20	1.5	1	bouffer	1
bouffe	buf	bouffer	VER			42.72	33.04	8.96	5.61	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	3	8	0	6	3	CVVCCV	CVC	5	21	6	3	buf	1	CVC	effuob	fub	bouf-fe	ADJ,NOM,VER	96	28	1.5	1	bouffer	1
bouffent	buf	bouffer	VER			42.72	33.04	1.93	1.49	ind:pre:3p;	1	8	0	8	3	CVVCCVCC	CVC	3	21	0	3	buf	1	CVC	tneffuob	fub	bouf-fent	VER	96	28	1.85	1	bouffer	1
bouffer	bufe	bouffer	VER			42.72	33.04	18.26	15.61	inf;	1	8	1	7	4	CVVCCVC	CVCV	4	16	7	4	bu-fe	2	CV-CV	reffuob	efub	bouf-fer	VER	96	28	1.65	1.05	bouffer	1
bouffera	buf°Ra	bouffer	VER			42.72	33.04	0.38	0.61	ind:fut:3s;	1	2	0	8	6	CVVCCVCV	CVCVCV	0	6	0	0	bu-f°-Ra	3	CV-CV-CV	areffuob	aR°fub	bouf-fe-ra	VER	96	28	1.85		bouffer	1
boufferai	buf°RE	bouffer	VER			42.72	33.04	0.19	0.07	ind:fut:1s;	1	4	0	9	6	CVVCCVCVV	CVCVCV	1	9	0	0	bu-f°-RE	3	CV-CV-CV	iareffuob	ER°fub	bouf-fe-rai	VER	96	28	2.05		bouffer	1
boufferaient	buf°RE	bouffer	VER			42.72	33.04	0.26	0.07	cnd:pre:3p;	1	4	0	12	6	CVVCCVCVVVCC	CVCVCV	0	9	0	0	bu-f°-RE	3	CV-CV-CV	tneiareffuob	ER°fub	bouf-fe-raient	VER	96	28	2.65		bouffer	1
boufferais	buf°RE	bouffer	VER			42.72	33.04	0.54	0.20	cnd:pre:1s;cnd:pre:2s;	1	4	0	10	6	CVVCCVCVVC	CVCVCV	3	9	0	0	bu-f°-RE	3	CV-CV-CV	siareffuob	ER°fub	bouf-fe-rais	VER	96	28	1.95		bouffer	1
boufferait	buf°RE	bouffer	VER			42.72	33.04	0.28	0.41	cnd:pre:3s;	1	4	0	10	6	CVVCCVCVVC	CVCVCV	2	9	0	0	bu-f°-RE	3	CV-CV-CV	tiareffuob	ER°fub	bouf-fe-rait	VER	96	28	1.95		bouffer	1
boufferas	buf°Ra	bouffer	VER			42.72	33.04	0.20	0.14	ind:fut:2s;	1	2	0	9	6	CVVCCVCVC	CVCVCV	1	6	0	0	bu-f°-Ra	3	CV-CV-CV	sareffuob	aR°fub	bouf-fe-ras	VER	96	28	2.1		bouffer	1
boufferez	buf°Re	bouffer	VER			42.72	33.04	0.02	0.00	ind:fut:2p;	1	1	0	9	6	CVVCCVCVC	CVCVCV	1	4	0	0	bu-f°-Re	3	CV-CV-CV	zereffuob	eR°fub	bouf-fe-rez	VER	96	28	2.4		bouffer	1
boufferont	buf°R§	bouffer	VER			42.72	33.04	0.36	0.27	ind:fut:3p;	1	1	0	10	6	CVVCCVCVCC	CVCVCV	0	5	0	0	bu-f°-R§	3	CV-CV-CV	tnoreffuob	§R°fub	bouf-fe-ront	VER	96	28	2.65		bouffer	1
bouffes	buf	bouffe	ADJ	m	p	3.31	2.23	0.01	0.07		3	8	0	7	3	CVVCCVC	CVC	7	21	0	3	buf	1	CVC	seffuob	fub	bouf-fes	ADJ,NOM,VER	83	18	1.5	1	bouffe	1
bouffes	buf	bouffe	NOM	f	p	14.51	7.36	0.11	0.74		3	8	0	7	3	CVVCCVC	CVC	7	21	0	3	buf	1	CVC	seffuob	fub	bouf-fes	ADJ,NOM,VER	100	20	1.5	1	bouffer	1
bouffes	buf	bouffer	VER			42.72	33.04	1.56	0.41	ind:pre:2s;	3	8	0	7	3	CVVCCVC	CVC	7	21	0	3	buf	1	CVC	seffuob	fub	bouf-fes	ADJ,NOM,VER	96	28	1.5	1	bouffer	1
bouffetance	buf°t@s	bouffetance	NOM	f	s	0.00	0.14	0.00	0.14		1	1	1	11	7	CVVCCVCVCCV	CVCVCVC	0	0	8	4	bu-f°-t@s	3	CV-CV-CVC	ecnateffuob	s@t°fub	bouf-fe-tan-ce	NOM	57	21	3.8		bouffetance	1
bouffettes	bufEt	bouffette	NOM	f	p	0.01	0.07	0.01	0.07		1	1	0	10	5	CVVCCVCCVC	CVCVC	0	3	0	0	bu-fEt	2	CV-CVC	setteffuob	tEfub	bouf-fet-tes	NOM			2.6	1.8	bouffette	1
bougeât	buZa	bouger	VER			211.90	156.76	0.00	0.54	sub:imp:3s;	1	2	0	7	4	CVVCVVC	CVCV	1	13	0	0	bu-Za	2	CV-CV	tâeguob	aZub	bou-geât	VER	95	22	1.95	1.2	bouger	1
brocardaient	bRokaRdE	brocarder	VER			0.01	0.27	0.00	0.07	ind:imp:3p;	1	2	0	12	8	CCVCVCCVVVCC	CCVCVCCV	0	1	0	0	bRo-kaR-dE	3	CCV-CVC-CV	tneiadracorb	EdRakoRb	bro-car-daient	VER	73	19	3.2	2.6	brocarder	1
calamité	kalamite	calamiter	VER	m	s	0.04	0.27	0.03	0.20	par:pas;	2	3	0	8	8	CVCVCVCV	CVCVCVCV	1	3	8	8	ka-la-mi-te	4	CV-CV-CV-CV	étimalac	etimalak	ca-la-mi-té	VER,NOM			2.55	2.3	calamiter	1
canonisés	kanonize	canoniser	VER	m	p	0.61	1.01	0.00	0.27	par:pas;	1	5	0	9	8	CVCVCVCVC	CVCVCVCV	1	0	0	8	ka-no-ni-ze	4	CV-CV-CV-CV	sésinonac	ezinonak	ca-no-ni-sés	VER	90	20	2.5	2.55	canoniser	1
canons	kan§	canon	NOM	m	p	22.22	48.99	7.34	20.34		3	5	0	6	4	CVCVCC	CVCV	5	12	0	4	ka-n§	2	CV-CV	snonac	§nak	ca-nons	VER,ADJ,NOM	100	28	1.6	1.15	canon	1
cella	sEla	cella	NOM	f	s	0.28	0.81	0.28	0.81		1	2	1	5	4	CVCCV	CVCV	4	15	5	4	sE-la	2	CV-CV	allec	alEs	cel-la	NOM	4	24	1.7	1	cella	1
celle	sEl	celle	NOM		s	0.02	0.00	0.02	0.00		2	12	1	5	3	CVCCV	CVC	11	28	5	3	sEl	1	CVC	ellec	lEs	cel-le	NOM,PRO:dem			1.25	1	celle	1
celle	sEl	celle	PRO:dem	f	s	141.28	299.46	141.28	299.46		2	12	1	5	3	CVCCV	CVC	11	28	5	3	sEl	1	CVC	ellec	lEs	cel-le	NOM,PRO:dem			1.25	1	celle-:dem	2
celle-ci	sElsi	celle-ci	PRO:dem	f	s	38.71	57.57	38.71	57.57		1	2	1	8	5	CVCCV-CV	CVCCV	0	0	7	4	sEl-si	2	CVC-CV	ic-ellec	islEs	celle-ci	PRO:dem			3.4	1.95	celle-ci-:dem	3
celle-là	sElla	celle-là	PRO:dem	f	s	52.63	28.65	52.63	28.65		1	2	1	8	5	CVCCV-CV	CVCCV	0	1	7	4	sEl-la	2	CVC-CV	àl-ellec	allEs	celle-là	PRO:dem			3.4	1.85	celle-là-:dem	3
celles	sEl	celles	PRO:dem	f	p	34.73	107.97	34.73	107.97		1	12	1	6	3	CVCCVC	CVC	7	28	6	3	sEl	1	CVC	sellec	lEs	cel-les	PRO:dem			1.45	1	celles-:dem	2
celles-ci	sElsi	celles-ci	PRO:dem	f	p	6.64	9.39	6.64	9.39		1	2	1	9	5	CVCCVC-CV	CVCCV	0	0	8	4	sEl-si	2	CVC-CV	ic-sellec	islEs	celles-ci	PRO:dem			3.7	1.95	celles-ci-:dem	3
celles-là	sElla	celles-là	PRO:dem	f	p	5.90	6.08	5.90	6.08		1	2	1	9	5	CVCCVC-CV	CVCCV	0	1	8	4	sEl-la	2	CVC-CV	àl-sellec	allEs	celles-là	PRO:dem			3.7	1.85	celles-là-:dem	3
cellier	selje	cellier	NOM	m	s	1.11	3.65	1.01	2.97		1	3	1	7	5	CVCCVVC	CVCYV	2	6	5	5	se-lje	2	CV-CYV	reillec	ejles	cel-lier	NOM	91	24	1.85	1.6	cellier	1
celliers	selje	cellier	NOM	m	p	1.11	3.65	0.10	0.68		1	3	0	8	5	CVCCVVCC	CVCYV	1	6	0	5	se-lje	2	CV-CYV	sreillec	ejles	cel-liers	NOM	91	24	2.5	1.6	cellier	1
cellophane	selofan	cellophane	NOM	f	s	0.39	2.43	0.39	2.43		1	1	1	10	7	CVCCVCCVCV	CVCVCVC	0	0	5	4	se-lo-fan	3	CV-CV-CVC	enahpollec	nafoles	cel-lo-pha-ne	NOM	100	21	3.95	2.9	cellophane	1
cellulaire	selylER	cellulaire	ADJ		s	3.19	2.03	2.76	1.62		1	2	1	10	7	CVCCVCVVCV	CVCVCVC	0	3	10	7	se-ly-lER	3	CV-CV-CVC	erialullec	RElyles	cel-lu-lai-re	ADJ	100	18	2.8	2.1	cellule-aire	2
cellulairement	selylER°m@	cellulairement	ADV			0.00	0.07	0.00	0.07		1	1	1	14	10	CVCCVCVVCVCVCC	CVCVCVCVCV	0	1	11	8	se-ly-lE-R°-m@	5	CV-CV-CV-CV-CV	tnemerialullec	@m°RElyles	cel-lu-lai-re-ment	ADV			4.55		cellulairement	1
cellulaires	selylER	cellulaire	ADJ		p	3.19	2.03	0.43	0.41		1	2	0	11	7	CVCCVCVVCVC	CVCVCVC	0	3	0	7	se-ly-lER	3	CV-CV-CVC	serialullec	RElyles	cel-lu-lai-res	ADJ	100	18	3.25	2.1	cellule-aire	2
cellular	selylaR	cellular	NOM	m	s	0.01	0.20	0.01	0.20		1	1	1	8	7	CVCCVCVC	CVCVCVC	0	1	8	6	se-ly-laR	3	CV-CV-CVC	ralullec	Ralyles	cel-lu-lar	NOM	33	21	3.05	2.55	cellular	1
cellule	selyl	cellule	NOM	f	s	42.98	46.28	31.06	35.34		1	3	1	7	5	CVCCVCV	CVCVC	0	2	7	5	se-lyl	2	CV-CVC	elullec	lyles	cel-lu-le	NOM	96	29	2.5	1.9	cellule	1
